GHGRP Facility ID,FACILITY NAME,GHGRP - City,GHGRP - State,ORIS CODE,ORIS CODE 2,ORIS CODE 3,ORIS CODE 4,ORIS CODE 5,GHGRP - Power Plant Sector,Reported Subparts RY10,Reported Subparts RY11,Reported Subparts RY12,Reported Subparts RY13,Reported Subparts RY14,Reported Subparts RY15,Reported Subparts RY16,Reported Subparts RY17,Reported Subparts RY18,Reported Subparts RY19,Reported Subparts RY20
1000001,PSE Ferndale Generating Station,FERNDALE,WA,54537,,,,,Yes,C,C,D,D,D,D,D,D,D,D,D
1000019,WESTERN SUGAR COMPANY,SCOTTSBLUFF,NE,57937,,,,,,"C,S","C,S","C,S","C,S","C,S",C,C,"C,S","C,S","C,S","C,S"
1000031,Northwest Regional Landfill,Surprise,AZ,57403,,,,,,"C,HH","C,HH","C,HH","C,HH","C,HH","C,HH","C,HH","C,HH","C,HH","C,HH","C,HH"
1000033,San Gabriel Cogeneration Facility,POMONA,CA,50300,,,,,Yes,C (Abbr),C,C,C,C,C,C,C,C,C,No submission
1000034,ADM SOYBEAN PROCESSING - DES MOINES,DES MOINES,IA,10861,,,,,,C (Abbr),C,C,C,C,C,C,C,C,C,C
1000036,UNIVERSITY OF CINCINNATI,CINCINNATI,OH,57908,57929,,,,,C,C,C,C,C,C,C,C,C,C,C
1000049,Lange,RAPID CITY,SD,55478,,,,,Yes,"C,D","C,D","C,D","C,D","C,D","C,D","C,D","C,D","C,D","C,D","C,D"
1000050,Wygen I,GILLETTE,WY,55479,,,,,Yes,D,D,D,D,D,D,D,D,D,D,D
1000051,"Mariposa Energy, LLC",Byron,CA,57483,,,,,Yes,No submission,No submission,"C,D",D,D,D,D,D,D,D,D
1000052,Mesquite Generating Station,ARLINGTON,AZ,55481,,,,,Yes,D,D,D,D,D,D,D,D,D,D,D
1000053,TEXAS MEDICAL CENTER CENTRAL HEATING AND COOLING SERVICES CORPORATION,HOUSTON,TX,57504,,,,,Yes,C,C,C,C,C,C,C,C,C,C,C
1000055,CALPINE NEWARK,NEWARK,NJ,50797,,,,,Yes,D,No submission,No submission,No submission,No submission,No submission,No submission,No submission,No submission,No submission,No submission
1000057,Tri-Center Naniwa Energy,MCCARRAN,NV,55494,,,,,Yes,D,D,D,D,D,D,No submission,No submission,No submission,No submission,No submission
1000058,CalPeak Power - Vaca Dixon LLC,VACAVILLE,CA,55499,,,,,Yes,D,D,D,No submission,No submission,No submission,No submission,No submission,No submission,No submission,No submission
1000059,Tenaska Kiamichi Generating Station,KIOWA,OK,55501,,,,,Yes,D,D,D,D,D,D,D,D,D,D,D
1000060,Limon Generating Station,LIMON,CO,55504,,,,,Yes,"C,D","C,D","C,D","C,D","C,D","C,D","C,D","C,D","C,D","C,D","C,D"
1000061,Frank Knutson Station,COMMERCE CITY,CO,55505,,,,,Yes,"C,D","C,D","C,D","C,D","C,D","C,D","C,D",No submission,"C,D","C,D","C,D"
1000065,CalPeak Power - Border LLC,SAN DIEGO,CA,55510,,,,,Yes,D,D,D,D,D,No submission,No submission,No submission,No submission,No submission,No submission
1000067,Cuyamaca Energy Facility,EL CAJON,CA,55512,,,,,Yes,D,D,D,D,D,D,D,No submission,No submission,No submission,No submission
1000068,Apex Generating Station,LAS VEGAS,NV,55514,,,,,Yes,"C,D","C,D,DD","C,D,DD","C,D","C,D","C,D","C,D","C,D","C,D","C,D","C,D"
1000069,"Wallingford Energy, LLC",WALLINGFORD,CT,55517,,,,,Yes,"C,D","C,D","C,D","C,D","C,D","C,D","C,D","C,D","C,D","C,D","C,D"
1000070,High Desert Power Project,VICTORVILLE,CA,55518,,,,,Yes,"C,D","C,D","C,D","C,D","C,D","C,D","C,D","C,D","C,D","C,D","C,D"
1000071,York Energy Center,Delta,PA,55524,,,,,Yes,No submission,D,D,D,D,D,D,D,D,D,"C,D"
1000074,"Escondido Energy Center, LLC",ESCONDIDO,CA,55538,,,,,Yes,D,D,D,D,D,D,D,D,D,D,D
1000075,Chula Vista Energy Center,CHULA VISTA,CA,55540,,,,,Yes,D,D,D,D,D,D,No submission,No submission,No submission,No submission,No submission
1000076,Klamath Energy LLC,Klamath Falls,OR,55544,,,,,Yes,D,D,D,D,D,D,D,No submission,D,D,D
1000078,"Combined Locks Energy Center, LLC",COMBINED LOCKS,WI,55558,,,,,Yes,D,D,D,No submission,No submission,No submission,No submission,No submission,No submission,No submission,No submission
1000080,Creed Energy Center,SUISUN CITY,CA,55625,,,,,Yes,D,D,D,D,D,No submission,No submission,No submission,No submission,No submission,No submission
1000081,Lambie Energy Center,SUISUN CITY,CA,55626,,,,,Yes,D,D,D,D,D,No submission,No submission,No submission,No submission,No submission,No submission
1000082,Goose Haven Energy Center,SUISUN CITY,CA,55627,,,,,Yes,D,D,D,D,D,No submission,No submission,No submission,No submission,No submission,No submission
1000084,Seminole (136),PALATKA,FL,136,,,,,Yes,D,"D,TT","D,TT","D,TT","D,TT","D,TT","D,TT","D,TT","D,TT","D,TT","D,TT"
1000085,Hartwell Energy Facility,HARTWELL,GA,70454,,,,,Yes,D,D,D,D,D,D,D,D,D,D,D
1000087,Energy Center Dover,DOVER,DE,10030,,,,,Yes,"C,D","C,D","C,D","C,D","C,D","C,D","C,D","C,D","C,D","C,D","C,D"
1000088,GSA Central Heating,WASHINGTON,DC,880004,,,,,Yes,C,C,C,C,C,C,C,C,C,C,C
1000089,AdvanSix Resins & Chemicals LLC,PHILADELPHIA,PA,880007,,,,,,C,C,C,C,C,C,C,C,C,C,C
1000091,Norwich,NORWICH,CT,581,,,,,,NN,"NN,W","NN,W","NN,W","NN,W","NN,W","NN,W","NN,W","NN,W","NN,W","NN,W"
1000092,Kneeland Station,BOSTON,MA,880023,,,,,Yes,C,C,C,C,C,C,C,C,C,C,C
1000093,Momentive Performance Materials,WATERFORD,NY,880024,,,,,,C,"C,TT","C,TT","C,TT","C,TT","C,TT","C,TT","C,TT","C,TT","C,TT","C,TT"
1000095,Red Oak Power LLC,SAYREVILLE,NJ,55239,,,,,Yes,"C,D","C,D","C,D","C,D","C,D","C,D","C,D","C,D","C,D","C,D","C,D"
1000096,Southeast Chicago Energy Project,CHICAGO,IL,55281,,,,,Yes,D,D,D,D,D,D,D,D,D,D,No submission
1000097,Gila River Power Station,Gila Bend,AZ,55306,,,,,Yes,D,D,D,D,D,D,D,D,D,D,D
1000098,"Wise County Power Company, LLC",POOLVILLE,TX,55320,,,,,Yes,D,D,D,D,D,D,D,D,D,D,D
1000099,Robinson Refinery,Robinson,IL,880088,,,,,,"C,MM,Y","C,MM,Y","C,MM,Y","C,MM,Y","C,MM,Y","C,MM,Y","C,MM,Y","C,MM,Y","C,MM,Y","C,MM,Y","C,MM,Y"
1000100,"New Harquahala Generating Company, LLC",TONOPAH,AZ,55372,,,,,Yes,D,D,D,D,D,D,D,D,D,D,D
1000101,Athens Generating Company,ATHENS,NY,55405,,,,,Yes,D,D,D,D,D,D,D,D,D,D,D
1000102,Sunrise Power Company,FELLOWS,CA,55182,,,,,Yes,D,"D,DD","D,DD","D,DD",D,D,D,D,D,D,D
1000106,Waterford Plant,WATERFORD,OH,55503,,,,,Yes,"C,D","C,D","C,D","C,D","C,D","C,D","C,D","C,D","C,D","C,D","C,D"
1000107,Osprey Energy Center,AUBURNDALE,FL,55412,,,,,Yes,D,D,D,D,D,D,D,D,D,D,D
1000108,North 1st,BROOKLYN,NY,7915,,,,,Yes,"C,D","C,D","C,D","C,D","C,D","C,D","C,D","C,D","C,D","C,D","C,D"
1000109,West Lorain,LORAIN,OH,2869,,,,,Yes,"C,D","C,D","C,D","C,D","C,D","C,D","C,D","C,D","C,D","C,D","C,D"
1000110,Midulla Generating Station,BOWLING GREEN,FL,7380,,,,,Yes,"C,D","C,D","C,D","C,D","C,D","C,D","C,D","C,D","C,D","C,D","C,D"
